# Start logging at 2021-10-16 17:57:46 Mitteleuropäische Sommerzeit
[17:57:46] connected
[22:49:45]  lawezz: nimm die schieß 7 keyboard
[22:50:00]  lawezz: bist du lost?
[22:50:10]  lawezz: die 7 wurde nicht geschrieben
[22:50:27]  lawezz: imagine lvl
[22:50:47]  lawezz: so viel zum thema lost
[22:51:05]  lawezz: qwinge
[22:51:38]  lawezz: das sieht mir mega nach object aus j0
[22:52:09]  lawezz: weil woher soll das sonst kommen
[22:53:25]  lawezz: nein du kannst durch die einzelnen gras halme stalken
[22:54:14]  lawezz: da waren scratchmarks
[22:54:20]  lawezz: stark j0
[22:54:30]  lawezz: big value aus t3
[22:55:36]  lawezz: ja weil du die scratchmarks einfach ignorierst
[22:55:39]  lawezz: 5Head
[22:56:21]  lawezz: da waren aber eben welche
[22:56:29]  lawezz: im t3 davor
[22:56:43]  lawezz: du würdest das pov take oder so nennen
[22:57:16]  mondkind1431: ich habe immer probleme mit den scratch marks
[22:57:25]  j0nas500: Folge mir auf Twitter: https://twitter.com/j0nas500
[22:57:55]  lawezz: wofür brauchst du t3?
[22:58:02]  lawezz: du hast noed
[22:58:13]  mondkind1431: so, bin aber auch raus, wünsche dir noch viel erfolg
[22:58:33]  lawezz: sooo lsot j0
[22:58:43]  lawezz: sooooooooooooo lost
[22:58:56]  lawezz: aber t3 99
[22:59:18]  lawezz: naja bin auchmal raus
[22:59:23]  lawezz: siehst du eh erst in 10min
[23:06:25] Now hosting tapferes_toast.
[23:06:44] j0nas500 is now offline.
[23:08:16] tapferes_toast has gone offline. Exiting host mode.
[23:53:56]  j0nas500: !rollen
[23:53:56]  j0nas500: Erklärungen zu den Rollen findest du hier: https://jnkl.de/rollen
