# Start logging at 2021-11-02 13:48:29 Mitteleuropäische Zeit
[13:48:29] connected
[13:50:26] j0nas500 is live!
[13:50:32]  j0nas500: a
[14:28:24]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:28:24]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:28:24]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:28:24]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:28:24]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:28:59]  otp_elias: w
[14:32:05]  j0nas500: Folge mir auf Twitter: https://twitter.com/j0nas500
[14:38:22]  otp_elias: !wer
[14:38:22]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:38:22]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:38:22]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:38:22]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:38:22]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:38:37]  otp_elias: !spieldochmal
[14:38:37]  j0nas500: Hier wird gespielt wie und was der Streamer möchte, ihr könnt gerne Wünsche äußern, Tipps geben oder gut gemeinte Kritik anbringen, achtet dabei aber auf euren Ton! :)
[14:38:39]  otp_elias: !wer
[14:38:39]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:38:39]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:38:39]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:38:39]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:38:39]  j0nas500: j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer j0nas5Wer
[14:40:07]  otp_elias: j0
[14:40:14]  otp_elias: hast du gerade 4€ auf ppl mabe ?
[14:41:04]  otp_elias: wer darf den nicht sehen
[14:41:13]  otp_elias: ich bin eh zu blöd für alles
[14:41:59]  otp_elias: Boar j0 mir fällt gerade ein  ich habe in der Deutsch ka ne 3 bekommen über ein thema was für unsere alte klasse komplett neu war
[14:42:06]  otp_elias: und für die wo ich rein kam standart
[14:42:21]  otp_elias: Heißt auch ohne knowledge hab ich geballert alles
[14:42:46]  otp_elias: Ka = Klassenarbeit
[14:42:48]  otp_elias: sorry
[14:43:08]  otp_elias: ich hab verstanden das du ka = keine ahnung gesagt hast
[14:44:30]  j0nas500: !kcreset
[14:44:32]  j0nas500: Kruiz Control Initialized
[14:44:39]  j0nas500: !tts Test
[14:44:39]  j0nas500: Test erfolgreich :)
[14:44:50]  j0nas500: !kcreset
[14:44:53]  j0nas500: Kruiz Control Initialized
[14:45:03]  j0nas500: !tts Jonas stinkt ganz doll nach Maggi
[14:45:05]  j0nas500: Alle Befehle: https://j0nas500.de/commands
[14:45:32]  j0nas500: !kcreset
[14:45:34]  j0nas500: Kruiz Control Initialized
[14:45:38]  j0nas500: !tts Jonas
[14:45:38]  j0nas500: TTS
[14:46:20]  j0nas500: !kcreset
[14:46:23]  j0nas500: Kruiz Control Initialized
[14:46:25]  j0nas500: !tts Jonas
[14:46:26]  j0nas500: TTS
[14:47:26]  j0nas500: !kcreset
[14:47:35]  fabxx45: was machen sachen
[14:47:37]  j0nas500: !kcreset
[14:47:45]  fabxx45: du sachen machen
[14:47:52]  j0nas500: !kcreset
[14:48:09]  j0nas500: !kcreset
[14:48:45]  j0nas500: Kruiz Control Initialized
[14:49:11]  j0nas500: !tts Fabs ist ein riesen Mongo, weil der probiert TTS zu abusen. AAAA BBBABS A SA A SD ASD SA DA SD ASD AS DSA D ASD DAD
[14:49:11]  fabxx45: !TTs
[14:49:16]  fabxx45: !TTS
[14:49:19]  fabxx45: !tts
[14:49:20]  j0nas500: !stop
[14:49:41]  fabxx45: TTS du dumbo
[14:49:54]  fabxx45: !tts du dumbo
[14:50:21]  fabxx45: geht ja ned
[14:50:26]  otp_elias: TTS
[14:50:36]  fabxx45: doch darf ich
[14:50:51]  otp_elias: !TTS
[14:50:53]  j0nas500: !kcreset
[14:50:55]  j0nas500: Kruiz Control Initialized
[14:51:03]  otp_elias: !tts Selam aleykum
[14:51:03]  fabxx45: !tts ich bin ein dumbo
[14:51:17]  otp_elias: tts Ich stehe auf
[14:51:21]  otp_elias: !tts füße
[14:51:36]  fabxx45: !tts renter
[14:51:43]  otp_elias: !tts ich mag lange Zehennägel
[14:51:56]  fabxx45: !tts ok
[14:52:07]  otp_elias: !tts nein
[14:52:19]  j0nas500: !tts Ja
[14:52:25]  fabxx45: !tts soll ich testen
[14:52:31]  otp_elias: !tts nnein
[14:52:42]  j0nas500: !tts Ja
[14:52:44]  j0nas500: !tts Nein
[14:52:45]  j0nas500: !tts Ja
[14:52:49]  j0nas500: !tts Nein
[14:52:51]  j0nas500: !tts Ja
[14:52:53]  j0nas500: !tts Nein
[14:52:56]  j0nas500: !tts Ja
[14:53:06]  j0nas500: !tts ich mag lange Zehennägel
[14:53:07]  j0nas500: !tts ich mag lange Zehennägel
[14:53:08]  j0nas500: !tts ich mag lange Zehennägel
[14:53:16]  otp_elias: !tts füße
[14:53:25]  otp_elias: tts Ich stehe auf
[14:53:33]  otp_elias: !tts Selam aleykum
[14:54:25]  j0nas500: !kcreset
[14:54:27]  j0nas500: Kruiz Control Initialized
[14:54:31]  j0nas500: !tts ich mag lange Zehennägel
[14:54:31]  j0nas500: !tts ich mag lange Zehennägel
[14:54:32]  j0nas500: !tts ich mag lange Zehennägel
[14:54:33]  j0nas500: !tts ich mag lange Zehennägel
[14:54:33]  j0nas500: !tts ich mag lange Zehennägel
[14:54:33]  j0nas500: !tts ich mag lange Zehennägel
[14:54:33]  j0nas500: !tts ich mag lange Zehennägel
[14:54:34]  j0nas500: !tts ich mag lange Zehennägel
[14:54:34]  j0nas500: !tts ich mag lange Zehennägel
[14:54:34]  j0nas500: !tts ich mag lange Zehennägel
[14:54:34]  j0nas500: !tts ich mag lange Zehennägel
[14:54:43]  j0nas500: !tts ich mag lange Zehennägel
[14:54:51]  otp_elias: !tts ich hab kein
[14:54:56]  otp_elias: !tts Cooldown
[14:55:01]  otp_elias: !tts kacke doch
[14:55:05]  otp_elias: !tts NEIN
[14:55:05]  j0nas500: Schau doch gerne mal bei unserer Community-Webseite vorbei :) https://mvbuddies.de
[14:55:15]  otp_elias: !tts was das
[14:55:28]  otp_elias: !tts ich hab kein
[14:55:35]  otp_elias: !tts Cooldown
[14:55:41]  otp_elias: !tts NEIN
[14:55:43]  fabxx45: !tts hallo
[14:55:46]  otp_elias: !tts was das
[14:55:49]  fabxx45: !tts hallo1
[14:55:50]  fabxx45: !tts hallo
[14:55:52]  fabxx45: !tts hallo1
[14:55:53]  fabxx45: !tts hallo
[14:56:27]  lawezz: !dumbo
[14:56:27]  j0nas500: Lawezz ist zu 99% Dumbo!
[14:56:32]  lawezz: ALARM
[14:56:38]  lawezz: 99% DUMBOOO
[14:56:46]  otp_elias: !ttsa lawezz is dumbo
[14:56:51]  otp_elias: !tts lawezz is dumbo
[14:57:03]  j0nas500: !kcreset
[14:57:05]  j0nas500: Kruiz Control Initialized
[14:57:15]  otp_elias: !tts lawezz is dumboo
[14:57:20]  lawezz: imagine dumbi
[14:57:22]  j0nas500: !kcreset
[14:57:24]  j0nas500: Kruiz Control Initialized
[14:57:48]  lawezz: 2 accounts 5Head
[14:58:26]  otp_elias: da
[14:58:41]  otp_elias: kein ding
[14:58:41]  lawezz: jason? das doch der typ aus friday 13th
[14:58:56]  lawezz: 187 Pog
[14:59:21]  j0nas500: !kcreset
[14:59:23]  j0nas500: Kruiz Control Initialized
[14:59:41]  lawezz: folge mit meinem 2. account schon PepeWhy
[14:59:44]  otp_elias: 187
[15:00:28]  lawezz: imagine mein chrime ist immer noch auf japanisch xD
[15:00:31]  lawezz: chrome
[15:02:23]  j0nas500: Kruiz Control Initialized
[15:02:44]  j0nas500: !kcreset
[15:02:47]  j0nas500: Kruiz Control Initialized
[15:02:50]  j0nas500: mvbuddies hat ein Follow dagelassen.
[15:03:11]  j0nas500: !kcreset
[15:03:13]  j0nas500: Kruiz Control Initialized
[15:03:18]  j0nas500: !kcreset
[15:03:20]  j0nas500: Kruiz Control Initialized
[15:03:27]  j0nas500: !tts mvbuddies hat ein Follow dagelassen.
[15:03:32]  j0nas500: mvbuddies hat ein Follow dagelassen.
[15:03:38]  j0nas500: mehmet187361hd hat ein Follow dagelassen.
[15:03:38]  lawezz: uiiiiiiiiii
[15:03:53]  lawezz: mehmet mensch
[15:03:55]  j0nas500: !kcreset
[15:03:58]  j0nas500: Kruiz Control Initialized
[15:04:01]  j0nas500: mvbuddies hat ein Follow dagelassen.
[15:04:08]  otp_elias: wa
[15:04:13]  j0nas500: mvbuddies hat ein Follow dagelassen.
[15:04:14]  fabxx45: !tts lion komm discord
[15:04:14]  j0nas500: Discord: jnkl.de/dc
[15:04:21]  j0nas500: mehmet187361hd hat ein Follow dagelassen.
[15:04:43]  lawezz: J0 MEIN CHROME IST WIEDER DEUTSCH Pog
[15:04:51]  j0nas500: !kcreset
[15:04:54]  j0nas500: Kruiz Control Initialized
[15:04:58]  j0nas500: mehmet187361hd hat ein Follow dagelassen.
[15:05:04]  j0nas500: mvbuddies hat ein Follow dagelassen.
[15:05:05]  j0nas500: Auf diesem Discord Server quatschen und schreiben wir immer: https://jnkl.de/dc
[15:05:11]  j0nas500: mehmet187361hd hat ein Follow dagelassen.
[15:05:18]  fabxx45: mehmet
[15:05:23]  j0nas500: mehmet187361hd hat ein Follow dagelassen.
[15:05:24]  j0nas500: mvbuddies hat ein Follow dagelassen.
[15:05:26]  lawezz: mehhh mett 187.361 HD Pog
